,path,source_text,pred_text,ref_text,ASR_BLEU
0,common_voice_es_19688053.mp3,habita en etiopía kenia norte de tanzania y uganda,elisa ethiopia cana north of tansania and yuganda,it inhabits ethiopia kenya northern tanzania and uganda,BLEU = 6.57 25.0/7.1/4.2/2.5 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8)
1,common_voice_es_19695481.mp3,es profesora de lengua y literatura,hes a teacher of language and literature,she is a professor of language and literature,BLEU = 37.68 71.4/50.0/40.0/25.0 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8)
2,common_voice_es_19856867.mp3,fue creador del consejo de colaboración municipal,he was the founder of the municipal collaboration,he was the founder of the council of municipal collaboration,BLEU = 59.59 100.0/85.7/66.7/60.0 (BP = 0.779 ratio = 0.800 hyp_len = 8 ref_len = 10)
3,common_voice_es_19602219.mp3,el pico y las patas son gris oscuros,the head and the legs are white,the beak and legs are dark grey,BLEU = 15.62 57.1/16.7/10.0/6.2 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
4,common_voice_es_19684323.mp3,es junto con fernando suárez gonzález el último ministro de franco vivo,hes the last minister of fine peru,along with fernando suarez gonzalez he is francos last living minister,BLEU = 4.41 28.6/8.3/5.0/3.1 (BP = 0.565 ratio = 0.636 hyp_len = 7 ref_len = 11)
5,common_voice_es_18402697.mp3,no lo entiendo parece que le da igual una cosa que otra ,ill understand,i dont understand it looks like he doesnt care about anything,BLEU = 0.56 50.0/50.0/0.0/0.0 (BP = 0.011 ratio = 0.182 hyp_len = 2 ref_len = 11)
6,common_voice_es_19636724.mp3,jugaba de delantero y su primer club fue el rayo vallecano,he played for the vatican,he played as a striker and his first club was rayo vallecano,BLEU = 5.27 40.0/25.0/16.7/12.5 (BP = 0.247 ratio = 0.417 hyp_len = 5 ref_len = 12)
7,common_voice_es_19720177.mp3,este campus ofrece programas de posgrado,this campus offers programmes,this campus offers postgraduate programs,BLEU = 46.31 75.0/66.7/50.0/50.0 (BP = 0.779 ratio = 0.800 hyp_len = 4 ref_len = 5)
8,common_voice_es_20061409.mp3,tiene un medio hermano más joven keller del nuevo matrimonio de su madre,he has a very young wife,he has a younger step brother keller who was born of his mothers new marriage,BLEU = 6.74 50.0/40.0/25.0/16.7 (BP = 0.223 ratio = 0.400 hyp_len = 6 ref_len = 15)
9,common_voice_es_20025890.mp3,es directora de la asociación cultural escena perú,hes the director of the cultural association,she is the director of the asociacion cultural escena peru,BLEU = 28.32 71.4/50.0/40.0/25.0 (BP = 0.651 ratio = 0.700 hyp_len = 7 ref_len = 10)
10,common_voice_es_19965992.mp3,su característica principal son sus cuatro manchas blancas sobre el abdomen,his main character is life,its main feature are his four white stains on the abdomen,BLEU = 3.83 40.0/12.5/8.3/6.2 (BP = 0.301 ratio = 0.455 hyp_len = 5 ref_len = 11)
