,path,source_text,pred_text,ref_text,ASR_BLEU
0,common_voice_es_19688053.mp3,habita en etiopía kenia norte de tanzania y uganda,les and e v o p e t,it inhabits ethiopia kenya northern tanzania and uganda,BLEU = 5.52 12.5/7.1/4.2/2.5 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8)
1,common_voice_es_19695481.mp3,es profesora de lengua y literatura,he is a teacher of literature and literature,she is a professor of language and literature,BLEU = 16.52 62.5/28.6/8.3/5.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8)
2,common_voice_es_19856867.mp3,fue creador del consejo de colaboración municipal,he was the head of the municipal corporation,he was the founder of the council of municipal collaboration,BLEU = 21.07 75.0/42.9/16.7/10.0 (BP = 0.779 ratio = 0.800 hyp_len = 8 ref_len = 10)
3,common_voice_es_19602219.mp3,el pico y las patas son gris oscuros,and the lakes are white,the beak and legs are dark grey,BLEU = 9.42 60.0/12.5/8.3/6.2 (BP = 0.670 ratio = 0.714 hyp_len = 5 ref_len = 7)
4,common_voice_es_19684323.mp3,es junto con fernando suárez gonzález el último ministro de franco vivo,the last french minister of fernandez,along with fernando suarez gonzalez he is francos last living minister,BLEU = 4.19 33.3/10.0/6.2/4.2 (BP = 0.435 ratio = 0.545 hyp_len = 6 ref_len = 11)
5,common_voice_es_18402697.mp3,no lo entiendo parece que le da igual una cosa que otra ,who can understand it,i dont understand it looks like he doesnt care about anything,BLEU = 5.55 50.0/33.3/25.0/25.0 (BP = 0.174 ratio = 0.364 hyp_len = 4 ref_len = 11)
6,common_voice_es_19636724.mp3,jugaba de delantero y su primer club fue el rayo vallecano,he was a vatican player,he played as a striker and his first club was rayo vallecano,BLEU = 3.47 60.0/12.5/8.3/6.2 (BP = 0.247 ratio = 0.417 hyp_len = 5 ref_len = 12)
7,common_voice_es_19720177.mp3,este campus ofrece programas de posgrado,scamper scampers programmes,this campus offers postgraduate programs,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.513 ratio = 0.600 hyp_len = 3 ref_len = 5)
8,common_voice_es_20061409.mp3,tiene un medio hermano más joven keller del nuevo matrimonio de su madre,he is a young lady of his mothers marriage,he has a younger step brother keller who was born of his mothers new marriage,BLEU = 10.84 66.7/25.0/14.3/8.3 (BP = 0.513 ratio = 0.600 hyp_len = 9 ref_len = 15)
9,common_voice_es_20025890.mp3,es directora de la asociación cultural escena perú,hes the director of the cultural association,she is the director of the asociacion cultural escena peru,BLEU = 28.32 71.4/50.0/40.0/25.0 (BP = 0.651 ratio = 0.700 hyp_len = 7 ref_len = 10)
10,common_voice_es_19965992.mp3,su característica principal son sus cuatro manchas blancas sobre el abdomen,main features are white,its main feature are his four white stains on the abdomen,BLEU = 3.65 75.0/16.7/12.5/12.5 (BP = 0.174 ratio = 0.364 hyp_len = 4 ref_len = 11)
11,common_voice_es_19135359.mp3,empezó a escribir muy temprano todavía en la enseñanza básica luego en el liceo,he went to write she was very busy in the basic school,he started writing very early first in elementary school then in high school,BLEU = 4.41 33.3/4.5/2.5/1.4 (BP = 0.920 ratio = 0.923 hyp_len = 12 ref_len = 13)
12,common_voice_es_19999087.mp3,sus padres eran hippies que se divorciaron cuando ella tenía siete años,his parents were the children when they had seven years,her parents were hippies who divorced when she was seven,BLEU = 9.98 40.0/11.1/6.2/3.6 (BP = 1.000 ratio = 1.000 hyp_len = 10 ref_len = 10)
13,common_voice_es_19728156.mp3,se refiere a las interacciones entre la política tecnología y cultura,interactions between politics technology and culture,it refers to the interactions between politics technology and culture,BLEU = 51.34 100.0/100.0/100.0/100.0 (BP = 0.513 ratio = 0.600 hyp_len = 6 ref_len = 10)
14,common_voice_es_19610984.mp3,algunas de las obras forman parte del repertorio regular de los grupos musicales turcos,some of the works are part of the turkish musical groups,some compositions are part of the regular repertoire of turkish music groups,BLEU = 25.48 72.7/30.0/22.2/12.5 (BP = 0.913 ratio = 0.917 hyp_len = 11 ref_len = 12)
15,common_voice_es_19768072.mp3,su contacto puede producir quemaduras en la piel y daños en los ojos,it can be produced by the feet in the air,touching it may cause skin burns and ocular damage,BLEU = 4.20 10.0/5.6/3.1/1.8 (BP = 1.000 ratio = 1.111 hyp_len = 10 ref_len = 9)
16,common_voice_es_19610251.mp3,entonces la hoz quedó suspendida en el aire,however the house was suspended in the air,thus the sickle was suspended in the air,BLEU = 54.11 75.0/57.1/50.0/40.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8)
17,common_voice_es_19715383.mp3,charles francis adams,charles francis adams,charles francis adams,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3)
18,common_voice_es_19956466.mp3,el espacio se acompaña por las propias reflexiones de labordeta sobre los lugares visitados,space is covered by the main reflections of the visitors,the space is guided by labordetas own reflections on the places visited,BLEU = 9.04 60.0/11.1/6.2/3.6 (BP = 0.819 ratio = 0.833 hyp_len = 10 ref_len = 12)
