,path,source_text,pred_text,ref_text,ASR_BLEU
0,common_voice_es_19654267.mp3,sus partes superiores son principalmente negras y sus partes inferiores principalmente blancas,theyre a parsa maniac and theyre a parsa maniac,its upper parts are mainly black and its lower parts are mainly white,BLEU = 3.06 11.1/6.2/3.6/2.1 (BP = 0.641 ratio = 0.692 hyp_len = 9 ref_len = 13)
1,common_voice_es_18324583.mp3,date prisa o perderemos el avión,we have a prison where we ask for the place,hurry up or well miss the plane,BLEU = 4.20 10.0/5.6/3.1/1.8 (BP = 1.000 ratio = 1.429 hyp_len = 10 ref_len = 7)
2,common_voice_es_18491550.mp3,¡ bien ¡ se fue  ya es historia,well it was there is history,alright its done its now history,BLEU = 8.12 16.7/10.0/6.2/4.2 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6)
3,common_voice_es_19136093.mp3,lleva el nombre de umar ibn aljattab el segundo califa del islam,it is called the name of umarabellah the second caliph of islam,it bears the name of the second caliph of the islam umar ibn al jattab,BLEU = 25.43 75.0/45.5/30.0/11.1 (BP = 0.779 ratio = 0.800 hyp_len = 12 ref_len = 15)
4,common_voice_es_19749676.mp3,se caracteriza por ser reductor,he is characterized by being a doctor,it is characterized for been a reducer,BLEU = 14.54 42.9/16.7/10.0/6.2 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
5,common_voice_es_19689078.mp3,educada en europa comenzó su carrera en italia,educated in europe he started his career in italy,she studied in europe and started her professional career in italy,BLEU = 18.70 66.7/37.5/14.3/8.3 (BP = 0.801 ratio = 0.818 hyp_len = 9 ref_len = 11)
6,common_voice_es_19755215.mp3,se encuentra en belice,hes located in bellies,it is in belize,BLEU = 15.97 25.0/16.7/12.5/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
7,common_voice_es_19633792.mp3,al conjunto se le denomina casco de la hacienda,shes called cassandra,the set is named the helmet of the farm,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.135 ratio = 0.333 hyp_len = 3 ref_len = 9)
8,common_voice_es_19663588.mp3,nombre griego hermópolis parva,ambergris and hermopolis parva,greek name hermopolis parva,BLEU = 31.95 50.0/33.3/25.0/25.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
9,common_voice_es_19614545.mp3,con la selección faraónica ha ganado dos copas de áfrica,the frolic selection he has won taffrails,with the national pharaoh team he managed to win twice the african champions cup,BLEU = 2.87 28.6/8.3/5.0/3.1 (BP = 0.368 ratio = 0.500 hyp_len = 7 ref_len = 14)
10,common_voice_es_20006890.mp3,los personajes tienen sus antecedentes en un pasado con frecuencia bastante antiguo,characters of their antecedents in a very ancient confederacy,the characters have their background in a past frequently old,BLEU = 10.15 44.4/12.5/7.1/4.2 (BP = 0.895 ratio = 0.900 hyp_len = 9 ref_len = 10)
11,common_voice_es_19956713.mp3,él es un inventor talentoso y un estratega natural,he is a talented inventor and a natural strategy,he is a talented inventor and a natural strategist,BLEU = 86.33 88.9/87.5/85.7/83.3 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9)
12,common_voice_es_19624390.mp3,polígrafo y bibliógrafo español,holograph and spanish bibliograph,spanish polygraph and bibliographer,BLEU = 19.00 50.0/16.7/12.5/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
13,common_voice_es_19676972.mp3,se habla en todo el sur de la provincia de castellón,he is in all the south of the province of castile,it is spoken throughout the province of castellon,BLEU = 14.99 36.4/20.0/11.1/6.2 (BP = 1.000 ratio = 1.375 hyp_len = 11 ref_len = 8)
14,common_voice_es_19669282.mp3,es la parte de la instalación que recibe energía del exterior,is part of the installation that receives energy from the exterior,that side of the facility that is powered from the exterior,BLEU = 19.08 63.6/30.0/11.1/6.2 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11)
15,common_voice_es_19639098.mp3,puede completarse colocando encima sardinas o anchoas,can be completed in sardino or anchovy,you can complete it putting on the top sardines or anchovies,BLEU = 4.41 28.6/8.3/5.0/3.1 (BP = 0.565 ratio = 0.636 hyp_len = 7 ref_len = 11)
16,common_voice_es_19976763.mp3,no participó en ninguna elección posterior y se acabó disolviendo,he didnt participate in any posterior election and he got dissolved,he didnt participated in any later election and it ended up been dissolved,BLEU = 11.25 63.6/30.0/5.6/3.1 (BP = 0.834 ratio = 0.846 hyp_len = 11 ref_len = 13)
17,common_voice_es_19982433.mp3,semillas con endosperma muy desarrollado,camels with enclosures are very dissolute,seeds with highly developed endosperm,BLEU = 8.12 16.7/10.0/6.2/4.2 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5)
18,common_voice_es_19635389.mp3,jaeha es un hombre observador confiado persistente y ama la belleza,he has an observatory name confidant persistence and a bad name,jae ha is an observer confident persistent and loves beauty,BLEU = 4.46 18.2/5.0/2.8/1.6 (BP = 1.000 ratio = 1.100 hyp_len = 11 ref_len = 10)
19,common_voice_es_19634535.mp3,muchas obras realizadas por el escultor ocupan espacios públicos y colecciones públicas y privadas,many works made by the sculptor occupy public spaces and public and private collections,many of the works made by the sculptor are exhibited in public places and also in public and private collections,BLEU = 31.17 85.7/53.8/41.7/27.3 (BP = 0.651 ratio = 0.700 hyp_len = 14 ref_len = 20)
20,common_voice_es_19720729.mp3,el segundo diseño era tener el motor delante del piloto,second design was to have the murderer in front of the pile,the second design was to have the motor in front of the driver,BLEU = 58.34 83.3/72.7/60.0/44.4 (BP = 0.920 ratio = 0.923 hyp_len = 12 ref_len = 13)
21,common_voice_es_19589274.mp3,está enterrado en el cementerio de la chacarita de buenos aires,is buried in the cemetery of the chicarato of buenos ayres,he is buried in chacarita cemetery in buenos aires,BLEU = 15.85 45.5/20.0/11.1/6.2 (BP = 1.000 ratio = 1.222 hyp_len = 11 ref_len = 9)
22,common_voice_es_19751228.mp3,y numerosos epónimos de especies,numerous species,as well as eponyms particularly from many other species,BLEU = 1.51 50.0/50.0/0.0/0.0 (BP = 0.030 ratio = 0.222 hyp_len = 2 ref_len = 9)
23,common_voice_es_19671541.mp3,sorbus subg,for bessie,sorbus s u b g,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.223 ratio = 0.400 hyp_len = 2 ref_len = 5)
24,common_voice_es_19646895.mp3,los pliegues de la mucosa disminuyen las paredes vaginales son más lisas,the pliers of the mucrosas minion the vigilance parade des semblances,the mucosal folds are reduced the vaginal walls are more even,BLEU = 4.46 18.2/5.0/2.8/1.6 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11)
25,common_voice_es_19723356.mp3,esta opción es cuando menos difícil para la costumbre de una audiencia moderna,this option is even more difficult for a modern audience,this is the least difficult option for the customs of modern audiences,BLEU = 5.38 60.0/5.6/3.1/1.8 (BP = 0.819 ratio = 0.833 hyp_len = 10 ref_len = 12)
26,common_voice_es_18949957.mp3,para que no me estallara la sien,i want to stay here,for my temple not to burst,BLEU = 8.75 20.0/12.5/8.3/6.2 (BP = 0.819 ratio = 0.833 hyp_len = 5 ref_len = 6)
27,common_voice_es_19655084.mp3,ambas arias están formadas sobre un lamento o ground bass,the fairies are forming tonics for orphans,lament and ground bass give this aria its shape,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.751 ratio = 0.778 hyp_len = 7 ref_len = 9)
28,common_voice_es_19505145.mp3,un tubo se extiende del cilindro superior al inferior,cuba was extinct from the superior cylinder to the inferior,a tube is extended from the superior cylinder to the inferior one,BLEU = 52.31 70.0/66.7/62.5/57.1 (BP = 0.819 ratio = 0.833 hyp_len = 10 ref_len = 12)
29,common_voice_es_19763719.mp3,su nombre es un homenaje a lewis carroll,its name is the name of the basque,his name is a tribute to lewis carroll,BLEU = 11.04 25.0/14.3/8.3/5.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8)
30,common_voice_es_19710474.mp3,afortunadamente el espacio es muy diferente,fortunately the space is very different,fortunately the space is very different,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6)
31,common_voice_es_19271345.mp3,la nueva dirección era adversa a todos los proyectos que jrushchov había apoyado,a new direction was besieged to all the projects that cossacks had appointed,the new management was opposite to all the projects jrushchov had supported,BLEU = 22.24 53.8/25.0/18.2/10.0 (BP = 1.000 ratio = 1.083 hyp_len = 13 ref_len = 12)
