,Unnamed: 0,path,source_text,pred_text,ref_text,ASR_BLEU,COMET,METEOR,BLASER
0,0,common_voice_es_19688053.mp3,habita en etiopía kenia norte de tanzania y uganda,elisa ethiopia cana north of tansania and yuganda,it inhabits ethiopia kenya northern tanzania and uganda,BLEU = 6.57 25.0/7.1/4.2/2.5 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8),0.6760492324829102,0.125,4.210446834564209
1,1,common_voice_es_19695481.mp3,es profesora de lengua y literatura,hes a teacher of language and literature,she is a professor of language and literature,BLEU = 37.68 71.4/50.0/40.0/25.0 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8),0.8702396750450134,0.6126582278481013,4.020763397216797
2,2,common_voice_es_19856867.mp3,fue creador del consejo de colaboración municipal,he was the founder of the municipal collaboration,he was the founder of the council of municipal collaboration,BLEU = 59.59 100.0/85.7/66.7/60.0 (BP = 0.779 ratio = 0.800 hyp_len = 8 ref_len = 10),0.9280745983123779,0.7653061224489797,3.8773820400238037
3,3,common_voice_es_19602219.mp3,el pico y las patas son gris oscuros,the head and the legs are white,the beak and legs are dark grey,BLEU = 15.62 57.1/16.7/10.0/6.2 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),0.8256169557571411,0.4508928571428571,3.563343048095703
4,4,common_voice_es_19684323.mp3,es junto con fernando suárez gonzález el último ministro de franco vivo,hes the last minister of fine peru,along with fernando suarez gonzalez he is francos last living minister,BLEU = 4.41 28.6/8.3/5.0/3.1 (BP = 0.565 ratio = 0.636 hyp_len = 7 ref_len = 11),0.525114119052887,0.14150943396226415,2.7226223945617676
5,5,common_voice_es_18402697.mp3,no lo entiendo parece que le da igual una cosa que otra ,ill understand,i dont understand it looks like he doesnt care about anything,BLEU = 0.56 50.0/50.0/0.0/0.0 (BP = 0.011 ratio = 0.182 hyp_len = 2 ref_len = 11),0.4953667223453522,0.04950495049504951,2.7374424934387207
6,6,common_voice_es_19636724.mp3,jugaba de delantero y su primer club fue el rayo vallecano,he played for the vatican,he played as a striker and his first club was rayo vallecano,BLEU = 5.27 40.0/25.0/16.7/12.5 (BP = 0.247 ratio = 0.417 hyp_len = 5 ref_len = 12),0.515312671661377,0.165929203539823,2.811300754547119
7,7,common_voice_es_19720177.mp3,este campus ofrece programas de posgrado,this campus offers programmes,this campus offers postgraduate programs,BLEU = 46.31 75.0/66.7/50.0/50.0 (BP = 0.779 ratio = 0.800 hyp_len = 4 ref_len = 5),0.8415195941925049,0.600907029478458,4.349819183349609
8,8,common_voice_es_20061409.mp3,tiene un medio hermano más joven keller del nuevo matrimonio de su madre,he has a very young wife,he has a younger step brother keller who was born of his mothers new marriage,BLEU = 6.74 50.0/40.0/25.0/16.7 (BP = 0.223 ratio = 0.400 hyp_len = 6 ref_len = 15),0.5435511469841003,0.26595744680851063,2.897961378097534
9,9,common_voice_es_20025890.mp3,es directora de la asociación cultural escena perú,hes the director of the cultural association,she is the director of the asociacion cultural escena peru,BLEU = 28.32 71.4/50.0/40.0/25.0 (BP = 0.651 ratio = 0.700 hyp_len = 7 ref_len = 10),0.6357582211494446,0.4989690721649485,3.292757987976074
10,10,common_voice_es_19965992.mp3,su característica principal son sus cuatro manchas blancas sobre el abdomen,his main character is life,its main feature are his four white stains on the abdomen,BLEU = 3.83 40.0/12.5/8.3/6.2 (BP = 0.301 ratio = 0.455 hyp_len = 5 ref_len = 11),0.4275139272212982,0.09615384615384616,2.8713996410369873
